,Days Since 100 Cases,Doubles in N Days,Reference Cases
542,62,Doubles in 8 Days,21526.948230495094
543,63,Doubles in 8 Days,23475.303506039585
544,64,Doubles in 8 Days,25600.000000000004
545,65,Doubles in 8 Days,27916.9979562306
546,66,Doubles in 8 Days,30443.702144069663
547,67,Doubles in 8 Days,33199.09259906585
548,68,Doubles in 8 Days,36203.867196751235
549,69,Doubles in 8 Days,39480.59713044329
550,70,Doubles in 8 Days,43053.89646099019
551,71,Doubles in 8 Days,46950.60701207917
552,72,Doubles in 8 Days,51200.00000000001
553,73,Doubles in 8 Days,55833.9959124612
554,74,Doubles in 8 Days,60887.404288139325
555,75,Doubles in 8 Days,66398.1851981317
556,76,Doubles in 8 Days,72407.73439350247
557,77,Doubles in 8 Days,78961.19426088658
558,78,Doubles in 8 Days,86107.79292198038
559,79,Doubles in 8 Days,93901.21402415834
560,0,Doubles in 9 Days,100.0
561,1,Doubles in 9 Days,108.00597388923062
562,2,Doubles in 9 Days,116.65290395761166
563,3,Doubles in 9 Days,125.9921049894873
564,4,Doubles in 9 Days,136.07900001743766
565,5,Doubles in 9 Days,146.97344922755985
566,6,Doubles in 9 Days,158.7401051968199
567,7,Doubles in 9 Days,171.44879657061452
568,8,Doubles in 9 Days,185.17494245745803
569,9,Doubles in 9 Days,199.99999999999991
570,10,Doubles in 9 Days,216.01194777846112
571,11,Doubles in 9 Days,233.30580791522317
572,12,Doubles in 9 Days,251.98420997897446
573,13,Doubles in 9 Days,272.1580000348752
574,14,Doubles in 9 Days,293.94689845511954
575,15,Doubles in 9 Days,317.48021039363965
576,16,Doubles in 9 Days,342.89759314122887
577,17,Doubles in 9 Days,370.3498849149159
578,18,Doubles in 9 Days,399.99999999999966
579,19,Doubles in 9 Days,432.02389555692207
580,20,Doubles in 9 Days,466.61161583044617
581,21,Doubles in 9 Days,503.96841995794875
582,22,Doubles in 9 Days,544.3160000697502
583,23,Doubles in 9 Days,587.8937969102388
584,24,Doubles in 9 Days,634.960420787279
585,25,Doubles in 9 Days,685.7951862824573
586,26,Doubles in 9 Days,740.6997698298312
587,27,Doubles in 9 Days,799.9999999999987
588,28,Doubles in 9 Days,864.0477911138436
589,29,Doubles in 9 Days,933.2232316608918
590,30,Doubles in 9 Days,1007.9368399158968
591,31,Doubles in 9 Days,1088.6320001394997
592,32,Doubles in 9 Days,1175.787593820477
593,33,Doubles in 9 Days,1269.9208415745572
594,34,Doubles in 9 Days,1371.5903725649139
595,35,Doubles in 9 Days,1481.3995396596617
596,36,Doubles in 9 Days,1599.9999999999968
597,37,Doubles in 9 Days,1728.0955822276862
598,38,Doubles in 9 Days,1866.4464633217824
599,39,Doubles in 9 Days,2015.8736798317925
600,40,Doubles in 9 Days,2177.264000278998
601,41,Doubles in 9 Days,2351.5751876409527
